OverallRating,OverallFrontCrashRating,FrontCrashDriversideRating,FrontCrashPassengersideRating,OverallSideCrashRating,SideCrashDriversideRating,SideCrashPassengersideRating,combinedSideBarrierAndPoleRating-Front,combinedSideBarrierAndPoleRating-Rear,sideBarrierRating-Overall,RolloverRating,RolloverRating2,RolloverPossibility,RolloverPossibility2,dynamicTipResult,SidePoleCrashRating,NHTSAElectronicStabilityControl,NHTSAForwardCollisionWarning,NHTSALaneDepartureWarning,ModelYear,Make,Model,VehicleDescription,VehicleId,rating_updated_on
5,5,5,5,5,5,5,5,5,5,5,Not Rated,0.095,0.0,No Tip,5,Standard,Standard,Standard,2024,ACURA,INTEGRA,2024 Acura INTEGRA 5 HB FWD,18962,2024-05-25 12:30:30.278697+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,5,Not Rated,0.095,0.0,No Tip,Not Rated,Standard,Standard,Standard,2024,ACURA,INTEGRA TYPE-S,2024 Acura INTEGRA Type-S 5 HB FWD,19941,2024-12-30 11:33:00.092872+00:00
5,4,4,4,5,5,5,5,5,5,4,Not Rated,0.151,0.0,No Tip,5,Standard,Standard,Standard,2024,ACURA,MDX,2024 Acura MDX SUV FWD,18963,2024-05-25 12:40:20.800201+00:00
Not Rated,4,4,4,5,5,5,5,5,5,Not Rated,Not Rated,0.0,0.0, ,5,Standard,Standard,Standard,2024,ACURA,MDX,2024 Acura MDX SUV AWD,18964,2024-12-17 11:33:30.434063+00:00
5,4,4,4,5,5,5,5,5,5,4,Not Rated,0.165,0.0,No Tip,5,Standard,Standard,Standard,2024,ACURA,RDX,2024 Acura RDX SUV FWD,19605,2024-05-25 12:40:20.800201+00:00
5,4,4,4,5,5,5,5,5,5,4,Not Rated,0.165,0.0,No Tip,5,Standard,Standard,Standard,2024,ACURA,RDX,2024 Acura RDX SUV AWD,19606,2024-05-25 12:31:50.348814+00:00
5,5,5,4,5,5,5,5,5,5,5,Not Rated,0.09,0.0,No Tip,5,Standard,Standard,Standard,2024,ACURA,TLX,2024 Acura TLX 4 DR FWD,19988,2024-05-25 12:40:20.800201+00:00
5,5,5,4,5,5,5,5,5,5,5,Not Rated,0.09,0.0,No Tip,5,Standard,Standard,Standard,2024,ACURA,TLX,2024 Acura TLX 4 DR AWD,19989,2024-05-25 12:40:20.800201+00:00
5,5,5,5,5,5,5,5,5,5,5,Not Rated,0.092,0.0,No Tip,5,Standard,Standard & Optional,Standard & Optional,2024,ACURA,ZDX,2024 Acura ZDX SUV RWD,19996,2024-12-29 11:33:30.038202+00:00
5,5,5,5,5,5,5,5,5,5,5,Not Rated,0.087,0.0,No Tip,5,Standard,Standard & Optional,Standard & Optional,2024,ACURA,ZDX,2024 Acura ZDX SUV AWD,19997,2024-12-06 11:32:51.124250+00:00
Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,Not Rated,0.0,0.0, ,Not Rated,Standard,Standard,Optional,2024,ALFA,GIULIA,2024 Alfa Giulia 4 DR RWD,19334,2024-12-17 11:33:30.434063+00:00
