,dtype,non_null,missing,missing_pct,unique
NHTSAActionNumber,object,537,29127,98.19,73
overTheAirUpdate,object,27187,2477,8.35,2
Notes,object,29100,564,1.9,57
parkOutSide,object,29519,145,0.49,2
parkIt,object,29519,145,0.49,2
NHTSACampaignNumber,object,29664,0,0.0,6859
Manufacturer,object,29664,0,0.0,498
Summary,object,29664,0,0.0,6869
Component,object,29664,0,0.0,521
ReportReceivedDate,object,29664,0,0.0,2214
Consequence,object,29664,0,0.0,5020
ModelYear,int64,29664,0,0.0,11
Remedy,object,29664,0,0.0,7146
Model,object,29664,0,0.0,3183
Make,object,29664,0,0.0,491
